# wavelength(nm) flux flux_error
1.923592682270268369e+03 nan nan
1.923599253489331659e+03 nan nan
1.923605824578859938e+03 nan nan
1.923612395538848887e+03 nan nan
1.923618966369295322e+03 nan nan
1.923625537070195605e+03 nan nan
1.923632107641545645e+03 nan nan
1.923638678083342029e+03 nan nan
1.923645248395581348e+03 nan nan
1.923651818578259281e+03 nan nan
1.923658388631372645e+03 nan nan
1.923664958554917575e+03 nan nan
1.923671528348890888e+03 nan nan
1.923678098013288036e+03 nan nan
1.923684667548105836e+03 nan nan
1.923691236953340649e+03 nan nan
1.923697806228988838e+03 nan nan
1.923704375375046766e+03 nan nan
1.923710944391510338e+03 nan nan
1.923717513278376373e+03 nan nan
1.923724082035641004e+03 nan nan
1.923730650663300139e+03 nan nan
1.923737219161351277e+03 nan nan
1.923743787529789643e+03 nan nan
1.923750355768611826e+03 nan nan
1.923756923877814415e+03 nan nan
1.923763491857393319e+03 nan nan
1.923770059707345354e+03 nan nan
1.923776627427666654e+03 nan nan
1.923783195018353354e+03 nan nan
1.923789762479401816e+03 nan nan
1.923796329810809084e+03 nan nan
1.923802897012570611e+03 nan nan
1.923809464084682986e+03 nan nan
1.923816031027142344e+03 nan nan
1.923822597839945502e+03 nan nan
1.923829164523088593e+03 nan nan
1.923835731076567754e+03 nan nan
1.923842297500379345e+03 nan nan
1.923848863794519957e+03 nan nan
1.923855429958985951e+03 nan nan
1.923861995993773462e+03 nan nan
1.923868561898878625e+03 nan nan
1.923875127674298255e+03 nan nan
1.923881693320028035e+03 nan nan
1.923888258836065006e+03 nan nan
1.923894824222404850e+03 nan nan
1.923901389479044383e+03 nan nan
1.923907954605979739e+03 nan nan
1.923914519603207282e+03 nan nan
1.923921084470723827e+03 nan nan
1.923927649208524826e+03 nan nan
1.923934213816607098e+03 nan nan
1.923940778294966549e+03 nan nan
1.923947342643600223e+03 nan nan
1.923953906862504255e+03 nan nan
1.923960470951674552e+03 nan nan
1.923967034911107476e+03 nan nan
1.923973598740799844e+03 nan nan
1.923980162440747790e+03 nan nan
1.923986726010947677e+03 nan nan
1.923993289451395640e+03 nan nan
1.923999852762088040e+03 nan nan
1.924006415943021693e+03 nan nan
1.924012978994192054e+03 nan nan
1.924019541915596392e+03 nan nan
1.924026104707230388e+03 nan nan
1.924032667369090404e+03 nan nan
1.924039229901173258e+03 nan nan
1.924045792303474855e+03 nan nan
1.924052354575991558e+03 nan nan
1.924058916718719956e+03 nan nan
1.924065478731655958e+03 nan nan
1.924072040614796606e+03 nan nan
1.924078602368137354e+03 nan nan
1.924085163991675472e+03 nan nan
1.924091725485406414e+03 nan nan
1.924098286849326996e+03 nan nan
1.924104848083433581e+03 nan nan
1.924111409187722529e+03 nan nan
1.924117970162189749e+03 nan nan
1.924124531006832058e+03 nan nan
1.924131091721645589e+03 nan nan
1.924137652306626705e+03 nan nan
1.924144212761771769e+03 nan nan
1.924150773087076914e+03 nan nan
1.924157333282538502e+03 nan nan
1.924163893348153351e+03 nan nan
1.924170453283917368e+03 nan nan
1.924177013089826914e+03 nan nan
1.924183572765878353e+03 nan nan
1.924190132312068272e+03 nan nan
1.924196691728392580e+03 nan nan
1.924203251014848092e+03 nan nan
1.924209810171430945e+03 nan nan
1.924216369198137045e+03 nan nan
1.924222928094963208e+03 nan nan
1.924229486861905798e+03 nan nan
1.924236045498960948e+03 nan nan
1.924242604006125021e+03 nan nan
1.924249162383394378e+03 nan nan
1.924255720630765609e+03 nan nan
1.924262278748234621e+03 nan nan
1.924268836735798232e+03 nan nan
1.924275394593452347e+03 nan nan
1.924281952321193558e+03 nan nan
1.924288509919017997e+03 nan nan
1.924295067386922256e+03 nan nan
1.924301624724902467e+03 nan nan
1.924308181932954994e+03 nan nan
1.924314739011076426e+03 nan nan
1.924321295959262670e+03 nan nan
1.924327852777510316e+03 nan nan
1.924334409465815952e+03 nan nan
1.924340966024175486e+03 nan nan
1.924347522452585281e+03 nan nan
1.924354078751042152e+03 nan nan
1.924360634919541781e+03 nan nan
1.924367190958080982e+03 nan nan
1.924373746866656347e+03 nan nan
1.924380302645263328e+03 nan nan
1.924386858293898740e+03 nan nan
1.924393413812559174e+03 nan nan
