# wavelength(nm) flux flux_error
1.923230447582332090e+03 nan nan
1.923237016528558570e+03 nan nan
1.923243585353102844e+03 nan nan
1.923250154055960820e+03 nan nan
1.923256722637128178e+03 nan nan
1.923263291096601279e+03 nan nan
1.923269859434375121e+03 nan nan
1.923276427650446749e+03 nan nan
1.923282995744811387e+03 nan nan
1.923289563717465398e+03 nan nan
1.923296131568404235e+03 nan nan
1.923302699297623576e+03 nan nan
1.923309266905120239e+03 nan nan
1.923315834390889449e+03 nan nan
1.923322401754927114e+03 nan nan
1.923328968997229595e+03 nan nan
1.923335536117792572e+03 nan nan
1.923342103116611952e+03 nan nan
1.923348669993683416e+03 nan nan
1.923355236749003325e+03 nan nan
1.923361803382567359e+03 nan nan
1.923368369894371199e+03 nan nan
1.923374936284411206e+03 nan nan
1.923381502552682605e+03 nan nan
1.923388068699182440e+03 nan nan
1.923394634723905710e+03 nan nan
1.923401200626848322e+03 nan nan
1.923407766408006864e+03 nan nan
1.923414332067376336e+03 nan nan
1.923420897604953552e+03 nan nan
1.923427463020733967e+03 nan nan
1.923434028314713487e+03 nan nan
1.923440593486888247e+03 nan nan
1.923447158537253699e+03 nan nan
1.923453723465806206e+03 nan nan
1.923460288272541447e+03 nan nan
1.923466852957455785e+03 nan nan
1.923473417520544444e+03 nan nan
1.923479981961803787e+03 nan nan
1.923486546281229494e+03 nan nan
1.923493110478817925e+03 nan nan
1.923499674554564308e+03 nan nan
1.923506238508465231e+03 nan nan
1.923512802340515918e+03 nan nan
1.923519366050712961e+03 nan nan
1.923525929639051810e+03 nan nan
1.923532493105528829e+03 nan nan
1.923539056450139242e+03 nan nan
1.923545619672879639e+03 nan nan
1.923552182773745699e+03 nan nan
1.923558745752733103e+03 nan nan
1.923565308609838439e+03 nan nan
1.923571871345056707e+03 nan nan
1.923578433958384267e+03 nan nan
1.923584996449817481e+03 nan nan
1.923591558819351349e+03 nan nan
1.923598121066982458e+03 nan nan
1.923604683192706716e+03 nan nan
1.923611245196519576e+03 nan nan
1.923617807078417400e+03 nan nan
1.923624368838396094e+03 nan nan
1.923630930476451113e+03 nan nan
1.923637491992578816e+03 nan nan
1.923644053386775113e+03 nan nan
1.923650614659035682e+03 nan nan
1.923657175809356431e+03 nan nan
1.923663736837733495e+03 nan nan
1.923670297744163008e+03 nan nan
1.923676858528640196e+03 nan nan
1.923683419191161420e+03 nan nan
1.923689979731722588e+03 nan nan
1.923696540150319606e+03 nan nan
1.923703100446948611e+03 nan nan
1.923709660621604826e+03 nan nan
1.923716220674284841e+03 nan nan
1.923722780604984337e+03 nan nan
1.923729340413698992e+03 nan nan
1.923735900100425397e+03 nan nan
1.923742459665159004e+03 nan nan
1.923749019107895492e+03 nan nan
1.923755578428631225e+03 nan nan
1.923762137627361881e+03 nan nan
1.923768696704083595e+03 nan nan
1.923775255658792048e+03 nan nan
1.923781814491483146e+03 nan nan
1.923788373202153025e+03 nan nan
1.923794931790797818e+03 nan nan
1.923801490257412979e+03 nan nan
1.923808048601994415e+03 nan nan
1.923814606824538259e+03 nan nan
1.923821164925040421e+03 nan nan
1.923827722903496806e+03 nan nan
1.923834280759903322e+03 nan nan
1.923840838494255649e+03 nan nan
1.923847396106550150e+03 nan nan
1.923853953596782731e+03 nan nan
1.923860510964948844e+03 nan nan
1.923867068211044852e+03 nan nan
1.923873625335066436e+03 nan nan
1.923880182337009501e+03 nan nan
1.923886739216870183e+03 nan nan
1.923893295974644161e+03 nan nan
1.923899852610327571e+03 nan nan
1.923906409123916092e+03 nan nan
1.923912965515405858e+03 nan nan
1.923919521784793005e+03 nan nan
1.923926077932072985e+03 nan nan
1.923932633957241933e+03 nan nan
1.923939189860295528e+03 nan nan
1.923945745641230133e+03 nan nan
1.923952301300041654e+03 nan nan
1.923958856836725545e+03 nan nan
1.923965412251277712e+03 nan nan
1.923971967543694745e+03 nan nan
1.923978522713972097e+03 nan nan
1.923985077762105902e+03 nan nan
1.923991632688091840e+03 nan nan
1.923998187491925819e+03 nan nan
1.924004742173604200e+03 nan nan
1.924011296733122435e+03 nan nan
1.924017851170476661e+03 nan nan
1.924024405485662783e+03 nan nan
1.924030959678676481e+03 nan nan
1.924037513749514119e+03 nan nan
1.924044067698171375e+03 nan nan
1.924050621524644157e+03 nan nan
1.924057175228928372e+03 nan nan
1.924063728811019928e+03 nan nan
1.924070282270915186e+03 nan nan
1.924076835608609144e+03 nan nan
1.924083388824098847e+03 nan nan
1.924089941917379292e+03 nan nan
1.924096494888446841e+03 nan nan
1.924103047737297402e+03 nan nan
1.924109600463927109e+03 nan nan
1.924116153068331187e+03 nan nan
1.924122705550506225e+03 nan nan
1.924129257910447905e+03 nan nan
1.924135810148152132e+03 nan nan
1.924142362263615041e+03 nan nan
1.924148914256832313e+03 nan nan
1.924155466127799627e+03 nan nan
1.924162017876513573e+03 nan nan
1.924168569502969603e+03 nan nan
1.924175121007163852e+03 nan nan
1.924181672389092000e+03 nan nan
1.924188223648750409e+03 nan nan
1.924194774786134531e+03 nan nan
1.924201325801240728e+03 nan nan
1.924207876694064680e+03 nan nan
1.924214427464602068e+03 nan nan
1.924220978112849252e+03 nan nan
1.924227528638801914e+03 nan nan
1.924234079042456187e+03 nan nan
1.924240629323807752e+03 nan nan
1.924247179482852516e+03 nan nan
1.924253729519586841e+03 nan nan
1.924260279434006179e+03 nan nan
1.924266829226106893e+03 nan nan
1.924273378895884434e+03 nan nan
1.924279928443334938e+03 nan nan
1.924286477868454313e+03 nan nan
1.924293027171238691e+03 nan nan
1.924299576351683754e+03 nan nan
1.924306125409785409e+03 nan nan
1.924312674345540017e+03 nan nan
1.924319223158942805e+03 nan nan
1.924325771849990133e+03 nan nan
1.924332320418677909e+03 nan nan
1.924338868865002041e+03 nan nan
1.924345417188958208e+03 nan nan
1.924351965390543000e+03 nan nan
1.924358513469751642e+03 nan nan
1.924365061426580269e+03 nan nan
1.924371609261025242e+03 nan nan
1.924378156973081786e+03 nan nan
1.924384704562746037e+03 nan nan
1.924391252030014357e+03 nan nan
1.924397799374882425e+03 nan nan
1.924404346597345921e+03 nan nan
1.924410893697400979e+03 nan nan
1.924417440675043508e+03 nan nan
1.924423987530269642e+03 nan nan
1.924430534263074833e+03 nan nan
1.924437080873455443e+03 nan nan
1.924443627361407152e+03 nan nan
1.924450173726926323e+03 nan nan
1.924456719970008407e+03 nan nan
1.924463266090649540e+03 nan nan
1.924469812088845401e+03 nan nan
1.924476357964592125e+03 nan nan
1.924482903717885847e+03 nan nan
1.924489449348722019e+03 nan nan
1.924495994857097230e+03 nan nan
1.924502540243006933e+03 nan nan
1.924509085506447036e+03 nan nan
1.924515630647413673e+03 nan nan
1.924522175665902523e+03 nan nan
1.924528720561909722e+03 nan nan
1.924535265335431177e+03 nan nan
1.924541809986463022e+03 nan nan
1.924548354515000710e+03 nan nan
1.924554898921040603e+03 nan nan
1.924561443204578381e+03 nan nan
1.924567987365610179e+03 nan nan
1.924574531404132131e+03 nan nan
1.924581075320139462e+03 nan nan
1.924587619113628534e+03 nan nan
1.924594162784595255e+03 nan nan
1.924600706333035532e+03 nan nan
1.924607249758945272e+03 nan nan
1.924613793062320383e+03 nan nan
1.924620336243156999e+03 nan nan
1.924626879301450799e+03 nan nan
1.924633422237198147e+03 nan nan
1.924639965050394494e+03 nan nan
1.924646507741035975e+03 nan nan
1.924653050309118498e+03 nan nan
1.924659592754637970e+03 nan nan
1.924666135077590297e+03 nan nan
1.924672677277971616e+03 nan nan
1.924679219355777605e+03 nan nan
1.924685761311004399e+03 nan nan
1.924692303143647678e+03 nan nan
1.924698844853703577e+03 nan nan
1.924705386441168230e+03 nan nan
1.924711927906037090e+03 nan nan
1.924718469248306519e+03 nan nan
1.924725010467972197e+03 nan nan
1.924731551565030031e+03 nan nan
1.924738092539476156e+03 nan nan
1.924744633391306479e+03 nan nan
1.924751174120516907e+03 nan nan
1.924757714727103121e+03 nan nan
1.924764255211061254e+03 nan nan
1.924770795572387442e+03 nan nan
1.924777335811077364e+03 nan nan
1.924783875927127156e+03 nan nan
1.924790415920532496e+03 nan nan
1.924796955791289520e+03 nan nan
1.924803495539394135e+03 nan nan
1.924810035164842247e+03 nan nan
1.924816574667629538e+03 nan nan
1.924823114047752597e+03 nan nan
1.924829653305206648e+03 nan nan
1.924836192439988054e+03 nan nan
1.924842731452092721e+03 nan nan
1.924849270341516331e+03 nan nan
1.924855809108255016e+03 nan nan
1.924862347752304686e+03 nan nan
1.924868886273661246e+03 nan nan
1.924875424672320833e+03 nan nan
1.924881962948279352e+03 nan nan
1.924888501101532256e+03 nan nan
1.924895039132076136e+03 nan nan
1.924901577039906442e+03 nan nan
1.924908114825019311e+03 nan nan
1.924914652487410876e+03 nan nan
1.924921190027076591e+03 nan nan
1.924927727444012817e+03 nan nan
1.924934264738215234e+03 nan nan
1.924940801909680204e+03 nan nan
1.924947338958402952e+03 nan nan
1.924953875884380295e+03 nan nan
1.924960412687607231e+03 nan nan
1.924966949368080577e+03 nan nan
1.924973485925795558e+03 nan nan
1.924980022360748762e+03 nan nan
1.924986558672935416e+03 nan nan
1.924993094862352109e+03 nan nan
1.924999630928994293e+03 nan nan
1.925006166872858330e+03 nan nan
1.925012702693939673e+03 nan nan
1.925019238392234683e+03 nan nan
1.925025773967739269e+03 nan nan
1.925032309420449110e+03 nan nan
1.925038844750360340e+03 nan nan
1.925045379957468867e+03 nan nan
1.925051915041770599e+03 nan nan
1.925058450003261669e+03 nan nan
1.925064984841937530e+03 nan nan
1.925071519557794772e+03 nan nan
1.925078054150828621e+03 nan nan
1.925084588621035664e+03 nan nan
1.925091122968411582e+03 nan nan
1.925097657192952056e+03 nan nan
1.925104191294653447e+03 nan nan
1.925110725273511434e+03 nan nan
1.925117259129522381e+03 nan nan
1.925123792862681739e+03 nan nan
