# wavelength(nm) flux flux_error
1.923282920491090863e+03 nan nan
1.923289487637434377e+03 nan nan
1.923296054667525596e+03 nan nan
1.923302621581359745e+03 nan nan
1.923309188378933641e+03 nan nan
1.923315755060241827e+03 nan nan
1.923322321625280210e+03 nan nan
1.923328888074044926e+03 nan nan
1.923335454406530971e+03 nan nan
1.923342020622734253e+03 nan nan
1.923348586722650225e+03 nan nan
1.923355152706274566e+03 nan nan
1.923361718573602957e+03 nan nan
1.923368284324630622e+03 nan nan
1.923374849959353924e+03 nan nan
1.923381415477767405e+03 nan nan
1.923387980879867882e+03 nan nan
1.923394546165650354e+03 nan nan
1.923401111335110045e+03 nan nan
1.923407676388243317e+03 nan nan
1.923414241325044941e+03 nan nan
1.923420806145511506e+03 nan nan
1.923427370849638237e+03 nan nan
1.923433935437420359e+03 nan nan
1.923440499908854008e+03 nan nan
1.923447064263934408e+03 nan nan
1.923453628502657239e+03 nan nan
1.923460192625018408e+03 nan nan
1.923466756631013368e+03 nan nan
1.923473320520637571e+03 nan nan
1.923479884293886698e+03 nan nan
1.923486447950756428e+03 nan nan
1.923493011491242441e+03 nan nan
1.923499574915340190e+03 nan nan
1.923506138223045582e+03 nan nan
1.923512701414353614e+03 nan nan
1.923519264489260422e+03 nan nan
1.923525827447761458e+03 nan nan
1.923532390289852628e+03 nan nan
1.923538953015528932e+03 nan nan
1.923545515624786503e+03 nan nan
1.923552078117620795e+03 nan nan
1.923558640494027259e+03 nan nan
1.923565202754002257e+03 nan nan
1.923571764897540106e+03 nan nan
1.923578326924637395e+03 nan nan
1.923584888835289576e+03 nan nan
1.923591450629491874e+03 nan nan
1.923598012307240197e+03 nan nan
1.923604573868530451e+03 nan nan
1.923611135313357636e+03 nan nan
1.923617696641717885e+03 nan nan
1.923624257853606650e+03 nan nan
1.923630818949019158e+03 nan nan
1.923637379927951542e+03 nan nan
1.923643940790399256e+03 nan nan
1.923650501536357979e+03 nan nan
1.923657062165822936e+03 nan nan
1.923663622678790261e+03 nan nan
1.923670183075255409e+03 nan nan
1.923676743355213830e+03 nan nan
1.923683303518661205e+03 nan nan
1.923689863565593214e+03 nan nan
1.923696423496005536e+03 nan nan
1.923702983309893852e+03 nan nan
1.923709543007253387e+03 nan nan
1.923716102588080048e+03 nan nan
1.923722662052369287e+03 nan nan
1.923729221400116785e+03 nan nan
1.923735780631318676e+03 nan nan
1.923742339745969957e+03 nan nan
1.923748898744066082e+03 nan nan
1.923755457625603185e+03 nan nan
1.923762016390576491e+03 nan nan
1.923768575038981908e+03 nan nan
1.923775133570815115e+03 nan nan
1.923781691986071110e+03 nan nan
1.923788250284746255e+03 nan nan
1.923794808466836230e+03 nan nan
1.923801366532336033e+03 nan nan
1.923807924481241344e+03 nan nan
1.923814482313548069e+03 nan nan
1.923821040029251662e+03 nan nan
1.923827597628348030e+03 nan nan
1.923834155110832398e+03 nan nan
1.923840712476700446e+03 nan nan
1.923847269725948081e+03 nan nan
1.923853826858570983e+03 nan nan
1.923860383874564150e+03 nan nan
1.923866940773923943e+03 nan nan
1.923873497556645361e+03 nan nan
1.923880054222724084e+03 nan nan
1.923886610772156246e+03 nan nan
1.923893167204937072e+03 nan nan
1.923899723521062242e+03 nan nan
1.923906279720527209e+03 nan nan
1.923912835803327880e+03 nan nan
1.923919391769459935e+03 nan nan
1.923925947618918826e+03 nan nan
1.923932503351700007e+03 nan nan
1.923939058967799156e+03 nan nan
1.923945614467212181e+03 nan nan
1.923952169849934762e+03 nan nan
1.923958725115961897e+03 nan nan
1.923965280265289493e+03 nan nan
1.923971835297913458e+03 nan nan
1.923978390213829016e+03 nan nan
1.923984945013032302e+03 nan nan
1.923991499695518542e+03 nan nan
1.923998054261283187e+03 nan nan
1.924004608710322373e+03 nan nan
1.924011163042631324e+03 nan nan
1.924017717258205948e+03 nan nan
1.924024271357041471e+03 nan nan
1.924030825339133798e+03 nan nan
1.924037379204478611e+03 nan nan
1.924043932953071362e+03 nan nan
1.924050486584907731e+03 nan nan
1.924057040099983169e+03 nan nan
1.924063593498293358e+03 nan nan
1.924070146779834658e+03 nan nan
1.924076699944601160e+03 nan nan
1.924083252992590133e+03 nan nan
1.924089805923796121e+03 nan nan
1.924096358738215031e+03 nan nan
1.924102911435842543e+03 nan nan
1.924109464016674565e+03 nan nan
1.924116016480706094e+03 nan nan
1.924122568827933037e+03 nan nan
1.924129121058351302e+03 nan nan
1.924135673171956114e+03 nan nan
1.924142225168743380e+03 nan nan
1.924148777048708325e+03 nan nan
1.924155328811846857e+03 nan nan
1.924161880458154656e+03 nan nan
1.924168431987627173e+03 nan nan
1.924174983400260317e+03 nan nan
1.924181534696049084e+03 nan nan
1.924188085874990065e+03 nan nan
1.924194636937078030e+03 nan nan
1.924201187882309114e+03 nan nan
1.924207738710678768e+03 nan nan
1.924214289422182219e+03 nan nan
1.924220840016815828e+03 nan nan
1.924227390494574593e+03 nan nan
1.924233940855454421e+03 nan nan
1.924240491099450992e+03 nan nan
1.924247041226559759e+03 nan nan
1.924253591236776629e+03 nan nan
1.924260141130096827e+03 nan nan
1.924266690906516487e+03 nan nan
1.924273240566030609e+03 nan nan
1.924279790108635098e+03 nan nan
1.924286339534325634e+03 nan nan
1.924292888843098126e+03 nan nan
1.924299438034947798e+03 nan nan
1.924305987109870102e+03 nan nan
1.924312536067861402e+03 nan nan
1.924319084908916466e+03 nan nan
1.924325633633031430e+03 nan nan
1.924332182240201746e+03 nan nan
1.924338730730423094e+03 nan nan
1.924345279103690928e+03 nan nan
1.924351827360001380e+03 nan nan
1.924358375499349677e+03 nan nan
1.924364923521731271e+03 nan nan
1.924371471427142296e+03 nan nan
1.924378019215577979e+03 nan nan
1.924384566887033998e+03 nan nan
1.924391114441506033e+03 nan nan
1.924397661878989993e+03 nan nan
1.924404209199481102e+03 nan nan
1.924410756402975039e+03 nan nan
1.924417303489467486e+03 nan nan
1.924423850458954348e+03 nan nan
1.924430397311430625e+03 nan nan
1.924436944046892449e+03 nan nan
1.924443490665335275e+03 nan nan
1.924450037166755010e+03 nan nan
1.924456583551146878e+03 nan nan
1.924463129818506786e+03 nan nan
1.924469675968830188e+03 nan nan
1.924476222002112536e+03 nan nan
1.924482767918350191e+03 nan nan
1.924489313717537698e+03 nan nan
1.924495859399671872e+03 nan nan
1.924502404964747484e+03 nan nan
1.924508950412760214e+03 nan nan
1.924515495743706197e+03 nan nan
