# Wlen(nm) Flux Flux_err
1.921652501844205744e+03 8.509942001295888901e-04 1.650068732693850393e-04
1.921659120753214893e+03 1.529574082204351090e-03 1.650068732693850393e-04
1.921665669375174502e+03 1.730938271425935121e-03 1.650068732693850393e-04
1.921672359082859884e+03 1.182333605212792030e-03 1.650068732693850393e-04
1.921678856093729792e+03 1.496570784264948358e-03 1.650068732693850393e-04
1.921685577163883636e+03 1.527399405070570650e-03 1.650068732693850393e-04
1.921692093798369115e+03 2.367338977338371501e-04 1.650068732693850393e-04
1.921698743197034673e+03 -3.174960712661975440e-05 1.650068732693850393e-04
1.921705331061697734e+03 1.125752376163670788e-04 1.650068732693850393e-04
1.921711908610316868e+03 8.102285937950426181e-04 1.650068732693850393e-04
1.921718567883616743e+03 1.509455603632967654e-03 1.650068732693850393e-04
1.921725073403598117e+03 1.325400086227699259e-03 1.650068732693850393e-04
1.921731804264024959e+03 1.860631474434828406e-03 1.650068732693850393e-04
1.921738300464601252e+03 2.658906385766681563e-03 1.650068732693850393e-04
1.921744977313931486e+03 3.088396766101849690e-03 1.650068732693850393e-04
1.921751536219363743e+03 4.124066536668459688e-03 1.650068732693850393e-04
1.921758140607945506e+03 4.863638691675387093e-03 1.650068732693850393e-04
1.921764771532371242e+03 5.046990651088309465e-03 1.650068732693850393e-04
1.921771303281497921e+03 6.016937489913293073e-03 1.650068732693850393e-04
1.921778006403524159e+03 7.112389748945859534e-03 1.650068732693850393e-04
1.921784501977123909e+03 7.351082504676808259e-03 1.650068732693850393e-04
1.921791204189449672e+03 7.872364163501519366e-03 1.650068732693850393e-04
1.921797736222133381e+03 7.840927688532043152e-03 1.650068732693850393e-04
1.921804365362611406e+03 8.042802709195620570e-03 1.650068732693850393e-04
1.921810970025044298e+03 8.370885945097012587e-03 1.650068732693850393e-04
1.921817525914850876e+03 8.913700998278024576e-03 1.650068732693850393e-04
1.921824203385755027e+03 8.645713303983677822e-03 1.650068732693850393e-04
1.921830698331855274e+03 8.127402229716610901e-03 1.650068732693850393e-04
1.921837423818138859e+03 8.994684108849380216e-03 1.650068732693850393e-04
1.921843931065926654e+03 9.127338094590256232e-03 1.650068732693850393e-04
1.921850582868863512e+03 9.146227026036759383e-03 1.650068732693850393e-04
1.921857163357552508e+03 9.688396646536643828e-03 1.650068732693850393e-04
1.921863741298204786e+03 9.501122510260067572e-03 1.650068732693850393e-04
1.921870395206634385e+03 8.938267178206237701e-03 1.650068732693850393e-04
1.921876899106028759e+03 8.676649458359645198e-03 1.650068732693850393e-04
1.921883626613069964e+03 7.992473447939633241e-03 1.650068732693850393e-04
1.921890120746656748e+03 7.923421494906124699e-03 1.650068732693850393e-04
1.921896793121245310e+03 7.401543003229802721e-03 1.650068732693850393e-04
1.921903351525811104e+03 7.457349424116184282e-03 1.650068732693850393e-04
1.921909949426102230e+03 8.234951096271914822e-03 1.650068732693850393e-04
1.921916581862074963e+03 8.694617326959259984e-03 1.650068732693850393e-04
1.921923105108980508e+03 8.665567677167926655e-03 1.650068732693850393e-04
