# Wlen(nm) Transmission Continuum
1.921718567883616743e+03 9.414363575971385414e-03 5.521738163496283658e-01
1.921725073403598117e+03 2.335913182114383868e-02 5.522515625602529843e-01
1.921731804264024959e+03 4.944903152567438342e-02 5.523317728583282404e-01
1.921738300464601252e+03 8.898095484980238223e-02 5.524089662106321796e-01
1.921744977313931486e+03 1.392761872259704048e-01 5.524880806565787283e-01
1.921751536219363743e+03 1.950153684388947761e-01 5.525655752055395054e-01
1.921758140607945506e+03 2.508473075739280911e-01 5.526433846859101218e-01
1.921764771532371242e+03 3.029994691771469295e-01 5.527212824524880830e-01
1.921771303281497921e+03 3.494993682022999870e-01 5.527977955904862517e-01
1.921778006403524159e+03 3.898155834825950961e-01 5.528760898816852398e-01
1.921784501977123909e+03 4.243672328801280091e-01 5.529517414665465758e-01
1.921791204189449672e+03 4.539447526114357978e-01 5.530295745114899297e-01
1.921797736222133381e+03 4.793864682108702757e-01 5.531052114051121515e-01
1.921804365362611406e+03 5.013693181849298020e-01 5.531817510911515301e-01
1.921810970025044298e+03 5.204616025339042773e-01 5.532577863278446140e-01
1.921817525914850876e+03 5.371586767164536758e-01 5.533330413323341856e-01
1.921824203385755027e+03 5.518687825371134670e-01 5.534094681637423685e-01
1.921830698331855274e+03 5.649227244432271089e-01 5.534835894538855383e-01
1.921837423818138859e+03 5.765761640018027823e-01 5.535601169787697229e-01
1.921843931065926654e+03 5.870537961604710420e-01 5.536339438163501159e-01
1.921850582868863512e+03 5.965387076786057285e-01 5.537091899079481516e-01
1.921857163357552508e+03 6.051914382470123810e-01 5.537834098909618641e-01
1.921863741298204786e+03 6.131259440767738988e-01 5.538573832791208185e-01
1.921870395206634385e+03 6.204209518991978811e-01 5.539319896055517889e-01
1.921876899106028759e+03 6.271433451680347160e-01 5.540046990240571345e-01
1.921883626613069964e+03 6.333546111175905047e-01 5.540796848875731984e-01
1.921890120746656748e+03 6.391172747451051572e-01 5.541518543196347624e-01
1.921896793121245310e+03 6.444751414761635822e-01 5.542257845801511484e-01
1.921903351525811104e+03 6.494667218116745300e-01 5.542982350080188914e-01
1.921909949426102230e+03 6.541168307448119723e-01 5.543709048546164864e-01
1.921916581862074963e+03 6.584437340048749920e-01 5.544437360590515063e-01
1.921923105108980508e+03 6.624626565355380414e-01 5.545151542758433028e-01
1.921929811755348055e+03 6.661902812323474699e-01 5.545883593990088567e-01
1.921936305260236395e+03 6.696582174562996093e-01 5.546590247462289680e-01
1.921942996114297330e+03 6.729175768963095994e-01 5.547316184820251239e-01
1.921949534525729632e+03 6.760530435011220529e-01 5.548023434960194233e-01
1.921956150293081464e+03 6.791503194001086152e-01 5.548736894129668862e-01
1.921962763347987675e+03 6.822402342455639035e-01 5.549447893270179621e-01
1.921969303849425614e+03 6.852702261800869277e-01 5.550148962578638212e-01
1.921975991726908660e+03 6.881382740452521851e-01 5.550863641642892476e-01
1.921982484602574914e+03 6.907501912662917798e-01 5.551555368782147282e-01
