# wavelength(nm) flux
1.923912965515405858e+03 1.079848462474138460e+00
1.923919521784793005e+03 1.079657354020954863e+00
1.923926077932072985e+03 1.078447967347607062e+00
1.923932633957241933e+03 1.076617731379883036e+00
1.923939189860295528e+03 1.074516581870663678e+00
1.923945745641230133e+03 1.072288658480759382e+00
1.923952301300041654e+03 1.069918185763425678e+00
1.923958856836725545e+03 1.067415433811709002e+00
1.923965412251277712e+03 1.064858369895695267e+00
1.923971967543694745e+03 1.062320072428022844e+00
1.923978522713972097e+03 1.059750301877547152e+00
1.923985077762105902e+03 1.056947124540643657e+00
1.923991632688091840e+03 1.053673647524129953e+00
1.923998187491925819e+03 1.049834932023473222e+00
1.924004742173604200e+03 1.045639787563399148e+00
1.924011296733122435e+03 1.041501203304664003e+00
1.924017851170476661e+03 1.037737737455819653e+00
1.924024405485662783e+03 1.034503647439545704e+00
1.924030959678676481e+03 1.031811745419812354e+00
1.924037513749514119e+03 1.029616109556949821e+00
1.924044067698171375e+03 1.027871680382465236e+00
1.924050621524644157e+03 1.026559210274832656e+00
1.924057175228928372e+03 1.025652562751533603e+00
1.924063728811019928e+03 1.025083871152319803e+00
1.924070282270915186e+03 1.024814759239495388e+00
1.924076835608609144e+03 1.024810328027545570e+00
1.924083388824098847e+03 1.025038575451314493e+00
1.924089941917379292e+03 1.025490593655061344e+00
1.924096494888446841e+03 1.026213372306253424e+00
1.924103047737297402e+03 1.027309911727841918e+00
1.924109600463927109e+03 1.028804120748936457e+00
1.924116153068331187e+03 1.030509426887939561e+00
1.924122705550506225e+03 1.032193549990278569e+00
1.924129257910447905e+03 1.033735194934129353e+00
1.924135810148152132e+03 1.035205451964446022e+00
1.924142362263615041e+03 1.036777632386431724e+00
1.924148914256832313e+03 1.038569274907739537e+00
1.924155466127799627e+03 1.040562814878518427e+00
1.924162017876513573e+03 1.042641912439126850e+00
1.924168569502969603e+03 1.044753570041626389e+00
1.924175121007163852e+03 1.046980977982211680e+00
1.924181672389092000e+03 1.049451248651843915e+00
1.924188223648750409e+03 1.052177603164110797e+00
1.924194774786134531e+03 1.054957419227765536e+00
1.924201325801240728e+03 1.057433064721232219e+00
1.924207876694064680e+03 1.059258768630641168e+00
1.924214427464602068e+03 1.060323290856383771e+00
1.924220978112849252e+03 1.060808731462187016e+00
1.924227528638801914e+03 1.060924486986071891e+00
1.924234079042456187e+03 1.060869391137021278e+00
1.924240629323807752e+03 1.060810509835494742e+00
1.924247179482852516e+03 1.060865758322937058e+00
1.924253729519586841e+03 1.061080162393307269e+00
1.924260279434006179e+03 1.061437539823499643e+00
1.924266829226106893e+03 1.061909454649332174e+00
1.924273378895884434e+03 1.062506628645797369e+00
1.924279928443334938e+03 1.063271286412250216e+00
1.924286477868454313e+03 1.064201782366574811e+00
1.924293027171238691e+03 1.065206286463434626e+00
1.924299576351683754e+03 1.066127304611183879e+00
1.924306125409785409e+03 1.066826733267181027e+00
