# wavelength(nm) flux flux_error
1.923323001335615118e+03 nan nan
1.923329576153055996e+03 nan nan
1.923336150843678070e+03 nan nan
1.923342725407477701e+03 nan nan
1.923349299844450798e+03 nan nan
1.923355874154593948e+03 nan nan
1.923362448337903061e+03 nan nan
1.923369022394374269e+03 nan nan
1.923375596324004164e+03 nan nan
1.923382170126788196e+03 nan nan
1.923388743802723639e+03 nan nan
1.923395317351805716e+03 nan nan
1.923401890774030790e+03 nan nan
1.923408464069395450e+03 nan nan
1.923415037237895376e+03 nan nan
1.923421610279527158e+03 nan nan
1.923428183194286930e+03 nan nan
1.923434755982170600e+03 nan nan
1.923441328643174529e+03 nan nan
1.923447901177294852e+03 nan nan
1.923454473584527705e+03 nan nan
1.923461045864869448e+03 nan nan
1.923467618018316443e+03 nan nan
1.923474190044864372e+03 nan nan
1.923480761944509595e+03 nan nan
1.923487333717248475e+03 nan nan
1.923493905363077147e+03 nan nan
1.923500476881991517e+03 nan nan
1.923507048273988175e+03 nan nan
1.923513619539062802e+03 nan nan
1.923520190677212213e+03 nan nan
1.923526761688432089e+03 nan nan
1.923533332572719246e+03 nan nan
1.923539903330068682e+03 nan nan
1.923546473960477897e+03 nan nan
1.923553044463942342e+03 nan nan
1.923559614840458153e+03 nan nan
1.923566185090022373e+03 nan nan
1.923572755212629772e+03 nan nan
1.923579325208277623e+03 nan nan
1.923585895076962061e+03 nan nan
1.923592464818678536e+03 nan nan
1.923599034433423867e+03 nan nan
1.923605603921194415e+03 nan nan
1.923612173281985633e+03 nan nan
1.923618742515794338e+03 nan nan
1.923625311622616664e+03 nan nan
1.923631880602448064e+03 nan nan
1.923638449455285809e+03 nan nan
1.923645018181125351e+03 nan nan
1.923651586779963054e+03 nan nan
1.923658155251795051e+03 nan nan
1.923664723596617932e+03 nan nan
1.923671291814427605e+03 nan nan
1.923677859905219975e+03 nan nan
1.923684427868991406e+03 nan nan
1.923690995705738260e+03 nan nan
1.923697563415456671e+03 nan nan
1.923704130998143000e+03 nan nan
1.923710698453792929e+03 nan nan
1.923717265782403047e+03 nan nan
1.923723832983969487e+03 nan nan
1.923730400058488158e+03 nan nan
1.923736967005955876e+03 nan nan
1.923743533826368321e+03 nan nan
1.923750100519721627e+03 nan nan
1.923756667086012158e+03 nan nan
1.923763233525236274e+03 nan nan
1.923769799837389883e+03 nan nan
