# Wlen(nm) Transmission Continuum
1.921545697281800813e+03 6.769476747122747206e-05 9.686911061563828473e-02
1.921552345592696838e+03 4.199274810156854057e-05 9.739992618704769456e-02
1.921558890429148278e+03 2.379883054532333031e-05 9.792130075146851520e-02
1.921565602916958824e+03 1.236634082779551773e-05 9.845481642668331423e-02
1.921572108003650328e+03 6.137067676156406463e-06 9.897067546592980269e-02
1.921578834608569423e+03 3.393548184781859347e-06 9.950288886176519854e-02
1.921585364614463288e+03 2.703640028279876816e-06 1.000183693070965801e-01
1.921592026057777957e+03 3.011136836958322554e-06 1.005430308860110616e-01
1.921598620722158557e+03 3.553548847863427905e-06 1.010612456231049366e-01
1.921605216804705833e+03 3.857035154003375344e-06 1.015783912533403111e-01
1.921611876326629954e+03 3.729446449826505597e-06 1.020993140295329560e-01
1.921618406849211624e+03 3.179980204605300567e-06 1.026089796536052146e-01
1.921625131427771521e+03 2.351155469848995701e-06 1.031325841399873405e-01
1.921631635586940547e+03 1.485039983838269180e-06 1.036378628138317354e-01
1.921638346628757290e+03 8.017851589891609929e-07 1.041580156329832973e-01
1.921644889973952104e+03 3.747774463684605742e-07 1.046640007341524126e-01
1.921651534973586649e+03 1.489727414426299376e-07 1.051766654128680062e-01
1.921658143857375535e+03 4.612289247495900877e-08 1.056853642692348605e-01
1.921664722615508026e+03 9.400478001565864451e-09 1.061905771878196986e-01
1.921671397237105111e+03 1.029700177597186366e-09 1.067019630260269830e-01
1.921677909554379312e+03 4.978692325535442687e-11 1.071997606356292626e-01
1.921684650113033968e+03 3.016170588484268185e-12 1.077138066094362329e-01
1.921691153343743736e+03 2.089814674671109506e-12 1.082085993863453055e-01
1.921697844930003157e+03 2.115676960269770810e-11 1.087165409595616666e-01
1.921704405504861597e+03 6.167948811751182363e-10 1.092133749321151232e-01
1.921711030167658464e+03 9.068187491667881572e-09 1.097138951455542966e-01
1.921717657161919760e+03 7.751492540775935349e-08 1.102134191939976582e-01
1.921724214701777555e+03 4.297962571245514024e-07 1.107065549247731179e-01
1.921730908314812723e+03 1.774224143016601325e-06 1.112087417703181286e-01
1.921737410827196072e+03 5.931343600410053780e-06 1.116954491698775170e-01
1.921744146668161875e+03 1.681814204393893190e-05 1.121984352340212598e-01
1.921750661264748260e+03 4.182420975074676472e-05 1.126837535283135155e-01
1.921757329499870821e+03 9.296040920793746415e-05 1.131793507551613343e-01
1.921763911197876041e+03 1.873794871859930683e-04 1.136673600742010987e-01
