# Wlen(nm) Flux Flux_err
1.921618406849211624e+03 1.532165538629492156e-05 1.016025017918240964e-04
1.921625131427771521e+03 -7.055106687391351529e-04 1.016025017918240964e-04
1.921631635586940547e+03 5.468890954507419841e-04 1.016025017918240964e-04
1.921638346628757290e+03 -2.458063103126771902e-04 1.016025017918240964e-04
1.921644889973952104e+03 2.723466168235809523e-04 1.016025017918240964e-04
1.921651534973586649e+03 1.093558107998257901e-05 1.016025017918240964e-04
1.921658143857375535e+03 1.578378453847327847e-03 1.016025017918240964e-04
1.921664722615508026e+03 4.298922839365752844e-04 1.016025017918240964e-04
1.921671397237105111e+03 4.386385935309697445e-04 1.016025017918240964e-04
1.921677909554379312e+03 6.127695332345626123e-04 1.016025017918240964e-04
1.921684650113033968e+03 1.036049017881623307e-03 1.016025017918240964e-04
1.921691153343743736e+03 5.591764090703190554e-04 1.016025017918240964e-04
1.921697844930003157e+03 9.451943865129544585e-04 1.016025017918240964e-04
1.921704405504861597e+03 5.970449761552712236e-04 1.016025017918240964e-04
1.921711030167658464e+03 4.336980625426948123e-04 1.016025017918240964e-04
1.921717657161919760e+03 9.134517881653131995e-04 1.016025017918240964e-04
1.921724214701777555e+03 3.522060643397663523e-04 1.016025017918240964e-04
1.921730908314812723e+03 -2.446964119619732996e-04 1.016025017918240964e-04
1.921737410827196072e+03 -3.026076089000200703e-04 1.016025017918240964e-04
1.921744146668161875e+03 4.394103797533431880e-04 1.016025017918240964e-04
1.921750661264748260e+03 7.511800297457217829e-04 1.016025017918240964e-04
1.921757329499870821e+03 -8.134569065423596522e-05 1.016025017918240964e-04
1.921763911197876041e+03 3.600060775909155264e-04 1.016025017918240964e-04
1.921770511627554015e+03 -1.115849068380083932e-04 1.016025017918240964e-04
1.921777160626473460e+03 -2.792736758270901738e-05 1.016025017918240964e-04
1.921783693051070259e+03 4.015674270452580688e-04 1.016025017918240964e-04
1.921790409550433878e+03 6.378716037107600182e-04 1.016025017918240964e-04
